job_id,company_id,job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg
0,0,Data Analyst,Marketing Data Analyst,Anywhere,via LinkedIn,Full-time,True,Serbia,2023-09-25 17:46:06,False,False,Serbia,,,
55,1,Cloud Engineer,Storage and Virtualization Engineer,"Kuwait City, Kuwait",via Trabajo.org,Full-time,False,Kuwait,2023-07-30 17:49:18,True,False,Kuwait,,,
66,2,Data Analyst,Data Analyst et Scientist F/H,"Paris, France",via Emplois Trabajo.org,Full-time,False,France,2023-07-28 17:28:01,False,False,France,,,
76,3,Data Engineer,Data Engineer,"Denver, CO",via LinkedIn,Contractor,False,"Illinois, United States",2023-04-03 17:14:45,False,False,United States,hour,,70.0
81,4,Data Engineer,Data Engineer,Anywhere,via LinkedIn,Contractor,True,Canada,2023-03-25 17:25:20,False,False,Canada,,,
105,5,Data Analyst,Data Analyst,"Bangkok, Thailand",via Jobtopgun.com,Full-time,False,Thailand,2023-01-29 17:16:56,False,False,Thailand,,,
106,6,Data Engineer,Data Lead Engineer (with strong Python) - Remote - Latin America,Anywhere,via Jobgether,Full-time,True,Nicaragua,2023-08-13 17:37:05,False,False,Nicaragua,,,
116,7,Senior Data Engineer,Senior Data Engineer,"New York, NY",via Melga,Full-time,False,"Florida, United States",2023-02-19 17:11:17,False,True,United States,,,
122,8,Data Analyst,Full Time Data Analyst,"Chicago, IL",via Trabajo.org,Full-time,False,"Illinois, United States",2023-10-19 17:01:36,False,True,United States,,,
134,9,Data Engineer,Data Engineer Remote / Telecommute Jobs,Anywhere,via Clearance Jobs,Full-time,True,Georgia,2023-04-27 17:38:56,True,False,United States,,,
139,10,Data Engineer,Lead Data Engineer,Anywhere,via LinkedIn,Full-time,True,"Texas, United States",2023-06-04 17:27:58,True,True,United States,,,
145,11,Data Engineer,Data Platform Engineer,Singapore,via BeBee Singapore,Full-time,False,Singapore,2023-07-13 17:13:07,True,False,Singapore,,,
148,12,Data Scientist,"Data Science Manager (Bangkok based, relocation provided)","Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,False,Vietnam,2023-09-26 17:12:46,False,False,Vietnam,,,
167,13,Data Engineer,Data Engineer,"Atlanta, GA",via LinkedIn,Full-time,False,"Florida, United States",2023-04-13 17:14:34,False,False,United States,,,
177,14,Senior Data Engineer,SENIOR STAFF DATA ENGINEER,"Redwood City, CA",via Snagajob,Full-time,False,Sudan,2023-07-23 18:22:41,False,False,Sudan,,,
187,15,Data Engineer,Sr. Data Engineer,"Copper Canyon, TX",via LinkedIn,Full-time,False,Sudan,2023-07-08 17:37:01,False,False,Sudan,,,
205,16,Data Analyst,Data Analyst Hybrid Remote,Denmark,via Trabajo.org,Full-time,False,Denmark,2023-05-13 17:57:40,False,False,Denmark,,,
217,17,Data Analyst,Data Analyst,Anywhere,via LinkedIn,Full-time,True,Poland,2023-04-12 17:48:34,True,False,Poland,,,
220,18,Senior Data Engineer,Senior Data Engineer (Kafka),United States,via LinkedIn,Full-time,False,Sudan,2023-05-15 18:40:02,False,False,Sudan,year,325000.0,
248,19,Data Engineer,Data Engineer - 15602,Anywhere,via LinkedIn,Full-time,True,"Illinois, United States",2023-10-21 17:08:19,False,True,United States,,,
276,20,Business Analyst,Marketing Analyst/in,"Munich, Germany",via BeBee,Full-time,False,Germany,2023-12-04 17:19:43,True,False,Germany,,,
284,21,Data Engineer,"Data Engineer, Product Analytics","Burlingame, CA",via LinkedIn,Full-time,False,"Texas, United States",2023-11-28 17:08:19,False,False,United States,year,164000.0,
307,22,Data Scientist,Data Scientist (AI/ML),"Irving, TX",via Dice.com,Contractor,False,"Texas, United States",2023-08-25 17:05:13,False,False,United States,hour,,60.0
342,23,Cloud Engineer,Customer Success Engineer,"Tel Aviv-Yafo, Israel",via VAST Data,Full-time,False,Israel,2023-03-22 17:50:08,False,False,Israel,,,
